# 未导入文件记录
# 生成时间：2026-08-29 20:31:49
# 规则：内容字符数超过 Excel 单元格上限 32767 的文件不写入 CSV/XLSX（避免截断/拆行），在此记录以便人工处理。
# 共 10 个文件
# 字段：相对路径 | 字符数 | 词库(一级) | 关键字(二级) | 文件名

20260731/模块/A函数解释提示.bas | 214806 | 20260731 | 模块 | A函数解释提示.bas
20260731/模块/modMain.bas | 106654 | 20260731 | 模块 | modMain.bas
20260731/模块/数据工具.bas | 58003 | 20260731 | 模块 | 数据工具.bas
20260731/模块/modObjSearch.bas | 55798 | 20260731 | 模块 | modObjSearch.bas
20260731/窗体/SQL查询器.frm | 47599 | 20260731 | 窗体 | SQL查询器.frm
20260731/窗体/VBE_CodeAssistant.frm | 44967 | 20260731 | 窗体 | VBE_CodeAssistant.frm
20260731/模块/填充功能.bas | 38783 | 20260731 | 模块 | 填充功能.bas
20260731/窗体/AIExcel.frm | 37304 | 20260731 | 窗体 | AIExcel.frm
20260731/模块/图表工具.bas | 36663 | 20260731 | 模块 | 图表工具.bas
20260731/模块/文件操作.bas | 34057 | 20260731 | 模块 | 文件操作.bas
